"index","unique_id","ds","model_label","cutoff","y","forecast","lower","upper","partition","model_name"
"62","1","2024-11-27T04:00:00.000","knn","2024-11-26T11:00:00.000","458093","450115.8125","427240.47421875","472991.15078125","1","KNeighborsRegressor"
"63","1","2024-11-27T04:00:00.000","knn","2024-11-26T23:00:00.000","458093","451484","437116.875","465851.125","2","KNeighborsRegressor"
"64","1","2024-11-27T04:00:00.000","mlp","2024-11-26T11:00:00.000","458093","441006.21875","424276.73046875","457735.70703125","1","MLPRegressor"
"65","1","2024-11-27T04:00:00.000","mlp","2024-11-26T23:00:00.000","458093","471090.78125","445500.803125","496680.759375","2","MLPRegressor"
"66","1","2024-11-27T05:00:00.000","enet","2024-11-26T11:00:00.000","442481","439326.03125","430907.290625","447744.771875","1","ElasticNet"
"67","1","2024-11-27T05:00:00.000","enet","2024-11-26T23:00:00.000","442481","442851.3125","435199.059375","450503.565625","2","ElasticNet"
"68","1","2024-11-27T05:00:00.000","knn","2024-11-26T11:00:00.000","442481","431890.8125","414194.13046875","449587.49453125","1","KNeighborsRegressor"
"69","1","2024-11-27T05:00:00.000","knn","2024-11-26T23:00:00.000","442481","434008.8125","421080.93125","446936.69375","2","KNeighborsRegressor"
"70","1","2024-11-27T05:00:00.000","mlp","2024-11-26T11:00:00.000","442481","425022.21875","409098.0609375","440946.3765625","1","MLPRegressor"
"71","1","2024-11-27T05:00:00.000","mlp","2024-11-26T23:00:00.000","442481","455625.09375","419611.0328125","491639.1546875","2","MLPRegressor"
"72","1","2024-11-27T06:00:00.000","enet","2024-11-26T11:00:00.000","428789","423344","412910.47734375","433777.52265625","1","ElasticNet"
"73","1","2024-11-27T06:00:00.000","enet","2024-11-26T23:00:00.000","428789","425780.96875","417111.125","434450.8125","2","ElasticNet"
"74","1","2024-11-27T06:00:00.000","knn","2024-11-26T11:00:00.000","428789","413795.1875","399249.49453125","428340.88046875","1","KNeighborsRegressor"
"75","1","2024-11-27T06:00:00.000","knn","2024-11-26T23:00:00.000","428789","418179.8125","404708.50078125","431651.12421875","2","KNeighborsRegressor"
"76","1","2024-11-27T06:00:00.000","mlp","2024-11-26T11:00:00.000","428789","409476.3125","392677.81328125","426274.81171875","1","MLPRegressor"
"77","1","2024-11-27T06:00:00.000","mlp","2024-11-26T23:00:00.000","428789","438872.5","391330.9109375","486414.0890625","2","MLPRegressor"
"78","1","2024-11-27T07:00:00.000","enet","2024-11-26T11:00:00.000","416590","410395.625","397176.0625","423615.1875","1","ElasticNet"
"79","1","2024-11-27T07:00:00.000","enet","2024-11-26T23:00:00.000","416590","411648.53125","399702.434375","423594.628125","2","ElasticNet"
"80","1","2024-11-27T07:00:00.000","knn","2024-11-26T11:00:00.000","416590","401476.1875","389166.04765625","413786.32734375","1","KNeighborsRegressor"
"81","1","2024-11-27T07:00:00.000","knn","2024-11-26T23:00:00.000","416590","406561.8125","390775.28203125","422348.34296875","2","KNeighborsRegressor"
"82","1","2024-11-27T07:00:00.000","mlp","2024-11-26T11:00:00.000","416590","396997.0625","378133.18359375","415860.94140625","1","MLPRegressor"
"83","1","2024-11-27T07:00:00.000","mlp","2024-11-26T23:00:00.000","416590","424635.84375","364845.15546875","484426.53203125","2","MLPRegressor"
"84","1","2024-11-27T08:00:00.000","enet","2024-11-26T11:00:00.000","408559","401635.03125","385994.1390625","417275.9234375","1","ElasticNet"
"85","1","2024-11-27T08:00:00.000","enet","2024-11-26T23:00:00.000","408559","401663.53125","386513.00234375","416814.06015625","2","ElasticNet"
"86","1","2024-11-27T08:00:00.000","knn","2024-11-26T11:00:00.000","408559","392110.40625","375584.75703125","408636.05546875","1","KNeighborsRegressor"
"87","1","2024-11-27T08:00:00.000","knn","2024-11-26T23:00:00.000","408559","396924","379388.01953125","414459.98046875","2","KNeighborsRegressor"
"88","1","2024-11-27T08:00:00.000","mlp","2024-11-26T11:00:00.000","408559","389087","368742.14921875","409431.85078125","1","MLPRegressor"
"89","1","2024-11-27T08:00:00.000","mlp","2024-11-26T23:00:00.000","408559","415458.21875","345589.6375","485326.8","2","MLPRegressor"
"90","1","2024-11-27T09:00:00.000","enet","2024-11-26T11:00:00.000","404818","398456.09375","381618.92578125","415293.26171875","1","ElasticNet"
"91","1","2024-11-27T09:00:00.000","enet","2024-11-26T23:00:00.000","404818","397622.8125","380417.80546875","414827.81953125","2","ElasticNet"
"92","1","2024-11-27T09:00:00.000","knn","2024-11-26T11:00:00.000","404818","386008.40625","367110.265625","404906.546875","1","KNeighborsRegressor"
"93","1","2024-11-27T09:00:00.000","knn","2024-11-26T23:00:00.000","404818","392742.59375","371042.7125","414442.475","2","KNeighborsRegressor"
"94","1","2024-11-27T09:00:00.000","mlp","2024-11-26T11:00:00.000","404818","386812","365418.31953125","408205.68046875","1","MLPRegressor"
"95","1","2024-11-27T09:00:00.000","mlp","2024-11-26T23:00:00.000","404818","412693.84375","335068.9109375","490318.7765625","2","MLPRegressor"
"96","1","2024-11-27T10:00:00.000","enet","2024-11-26T11:00:00.000","405474","401432.78125","384283.75078125","418581.81171875","1","ElasticNet"
"97","1","2024-11-27T10:00:00.000","enet","2024-11-26T23:00:00.000","405474","401764.6875","385524.54140625","418004.83359375","2","ElasticNet"
"98","1","2024-11-27T10:00:00.000","knn","2024-11-26T11:00:00.000","405474","387013","365813.4703125","408212.5296875","1","KNeighborsRegressor"
"99","1","2024-11-27T10:00:00.000","knn","2024-11-26T23:00:00.000","405474","389475.40625","365333.7359375","413617.0765625","2","KNeighborsRegressor"
"100","1","2024-11-27T10:00:00.000","mlp","2024-11-26T11:00:00.000","405474","389224.59375","365134.9015625","413314.2859375","1","MLPRegressor"
"101","1","2024-11-27T10:00:00.000","mlp","2024-11-26T23:00:00.000","405474","417158.90625","334510.04921875","499807.76328125","2","MLPRegressor"
"102","1","2024-11-27T11:00:00.000","enet","2024-11-26T11:00:00.000","411819","409763.71875","389706.86875","429820.56875","1","ElasticNet"
"103","1","2024-11-27T11:00:00.000","enet","2024-11-26T23:00:00.000","411819","413726.21875","397986.4125","429466.025","2","ElasticNet"
"104","1","2024-11-27T11:00:00.000","knn","2024-11-26T11:00:00.000","411819","396217.40625","373952.75625","418482.05625","1","KNeighborsRegressor"
"105","1","2024-11-27T11:00:00.000","knn","2024-11-26T23:00:00.000","411819","396537.1875","368831.11953125","424243.25546875","2","KNeighborsRegressor"
"106","1","2024-11-27T11:00:00.000","mlp","2024-11-26T11:00:00.000","411819","395670.75","365941.8328125","425399.6671875","1","MLPRegressor"
"107","1","2024-11-27T11:00:00.000","mlp","2024-11-26T23:00:00.000","411819","428409.9375","339267.834375","517552.040625","2","MLPRegressor"
"108","1","2024-11-27T12:00:00.000","enet","2024-11-26T11:00:00.000","430520","421145.1875","387159.61875","455130.75625","1","ElasticNet"
"109","1","2024-11-27T12:00:00.000","enet","2024-11-26T23:00:00.000","430520","429836.96875","404041.690625","455632.246875","2","ElasticNet"
