"index","unique_id","ds","cutoff","y","knn","mlp","enet","knn-lo-95","knn-hi-95","mlp-lo-95","mlp-hi-95","enet-lo-95","enet-hi-95"
"65","1","2024-11-29T05:00:00.000","2024-11-26T11:00:00.000","418229","432402.1875","408736.125","438515.5","415787.36953125","449017.00546875","382845.83359375","434626.41640625","413926.47421875","463104.52578125"
"66","1","2024-11-29T06:00:00.000","2024-11-26T11:00:00.000","410522","415739","395632.25","422643.15625","397247.99921875","434230.00078125","371680.15625","419584.34375","395463.73046875","449822.58203125"
"67","1","2024-11-29T07:00:00.000","2024-11-26T11:00:00.000","403518","403604.8125","385110.65625","409820.21875","382019.84453125","425189.78046875","360678.72265625","409542.58984375","379582.609375","440057.828125"
"68","1","2024-11-29T08:00:00.000","2024-11-26T11:00:00.000","399188","393243.1875","378345.1875","401694","369819.02421875","416667.35078125","352009.9859375","404680.3890625","369434.90703125","433953.09296875"
"69","1","2024-11-29T09:00:00.000","2024-11-26T11:00:00.000","399247","388417.59375","375824.4375","399009.46875","363062.18671875","413773.00078125","347793.4125","403855.4625","367362.66328125","430656.27421875"
"70","1","2024-11-29T10:00:00.000","2024-11-26T11:00:00.000","402475","388256.1875","377290.71875","401461.09375","361505","415007.375","346762.96328125","407818.47421875","371768.12890625","431154.05859375"
"71","1","2024-11-29T11:00:00.000","2024-11-26T11:00:00.000","409116","395353","381890.5","407987.65625","370650.15","420055.85","348676.8953125","415104.1046875","381732.07734375","434243.23515625"
"72","1","2024-11-27T00:00:00.000","2024-11-26T23:00:00.000","483113","476316","481496.15625","482783.09375","471956.590625","480675.409375","474025.26328125","488967.04921875","481560.078125","484006.109375"
"73","1","2024-11-27T01:00:00.000","2024-11-26T23:00:00.000","484300","475989.1875","489309.6875","486860.1875","471351.92421875","480626.45078125","482108.55859375","496510.81640625","482019.72265625","491700.65234375"
"74","1","2024-11-27T02:00:00.000","2024-11-26T23:00:00.000","480209","472408.59375","490341.84375","485013.15625","459571.49921875","485245.68828125","478428.175","502255.5125","477120.34609375","492905.96640625"
"75","1","2024-11-27T03:00:00.000","2024-11-26T23:00:00.000","471759","466359.8125","484335","476000.5625","451871.8828125","480847.7421875","466319.078125","502350.921875","467433.0203125","484568.1046875"
"76","1","2024-11-27T04:00:00.000","2024-11-26T23:00:00.000","458093","451484","471090.78125","460689.125","437116.875","465851.125","445500.803125","496680.759375","451659.3421875","469718.9078125"
