unique_id,ds,cutoff,y,lightGBM,xgboost,linear_regression,lasso,ridge,lightGBM-lo-95,lightGBM-hi-95,xgboost-lo-95,xgboost-hi-95,linear_regression-lo-95,linear_regression-hi-95,lasso-lo-95,lasso-hi-95,ridge-lo-95,ridge-hi-95
1,2024-04-14 20:00:00,2024-04-13 23:00:00,414495.83,401363.10436259134,399165.84,388856.3406834986,388519.0913884344,388856.5634438475,390196.8841860242,412529.3245391585,387953.20515625,410378.48234375,377865.74768308556,399846.93368391163,377868.15884270874,399170.02393416007,377865.8214798168,399847.30540787824
1,2024-04-14 21:00:00,2024-04-13 23:00:00,425373.57,404131.2461278468,404704.8,395615.900524919,395166.080487139,395616.1254114313,394203.12493098085,414059.3673247128,392170.98168749997,417238.64331250003,387745.607108786,403486.19394105196,387230.19310316065,403101.96787111735,387745.95505801606,403486.29576484655
1,2024-04-14 22:00:00,2024-04-13 23:00:00,438481.91,409330.33092921064,411440.72,402504.95670986833,401872.89600792615,402505.1849438904,399944.77740253165,418715.8844558897,398785.875375,424095.562125,395055.0707475301,409954.8426722066,394306.7005247216,409439.0914911307,395055.41937923455,409954.9505085462
1,2024-04-14 23:00:00,2024-04-13 23:00:00,446291.44,414404.3588577159,418651.03,407980.6582426253,407226.3441551016,407980.89402869734,405634.9890398994,423173.72867553245,407817.31453125,429484.74796875,397723.45628894406,418237.86019630654,396855.16766205616,417597.520648147,397723.8106033428,418237.97745405196
1,2024-04-15 00:00:00,2024-04-13 23:00:00,448420.43,419088.3998772667,425045.6,411633.8047624471,411052.0267861372,411634.0258636858,411534.08268162474,426642.7170729087,416998.38903125,433092.79846875,398677.84559567523,424589.7639292189,398649.0205311081,423455.0330411663,398678.159959664,424589.89176770765
1,2024-04-15 01:00:00,2024-04-13 23:00:00,448339.15,421943.05341175146,430483.8,412015.5896468962,411745.5485190814,412015.77668975486,417252.962049272,426633.1447742309,419268.93925,441698.68575,403600.7226774677,420430.45661632466,404467.39528324746,419023.7017549153,403600.95885781903,420430.5945216907
1,2024-04-15 02:00:00,2024-04-13 23:00:00,442895.54,413423.5518206259,425512.9,408209.10596461344,408318.4966787753,408209.25084107905,407850.1706044458,418996.933036806,413227.60975,437798.20275,398880.2440704982,417537.96785872866,398822.11863594345,417814.87472160714,398880.5702131057,417537.9314690524
1,2024-04-15 03:00:00,2024-04-13 23:00:00,425599.48,398459.678277995,411891.5,400229.6020303208,400760.60223069886,400229.70667283266,392457.1012372378,404462.25531875214,395148.33409375,428634.66590625,389224.0128403462,411235.1912202954,389235.74939158984,412285.4550698079,389224.3411462473,411235.07219941803
1,2024-04-15 04:00:00,2024-04-13 23:00:00,403515.52,377939.2290353916,393647.62,389200.35738894064,390317.34994726034,389200.42720792146,371718.5102237203,384159.9478470629,372620.36690625,414674.88309375,371649.04663574323,406751.66814213805,372726.5119872792,407908.18790724146,371649.38337931474,406751.4710365282
1,2024-04-15 05:00:00,2024-04-13 23:00:00,383166.7,363603.1970008488,376744.4,377302.538722156,378870.90141964285,377302.5801904611,356609.15451064886,370597.2394910488,351865.73034375,401623.08215625,352794.3209516362,401810.75649267586,354092.21401547105,403649.58882381464,352794.6467591699,401810.5136217524
1,2024-04-15 06:00:00,2024-04-13 23:00:00,366477.62,354338.9629454081,364892.25,366406.1613944512,368191.3940449488,366406.1805336344,345844.9481208132,362832.97777000297,339075.19025,390709.30975,337657.9745755567,395154.34821334574,338910.8582455404,397471.9298443572,337658.2933622332,395154.06770503556
1,2024-04-15 07:00:00,2024-04-13 23:00:00,353684.64,349315.63296582125,353506.62,358008.1020137272,359775.327482326,358008.1044797607,339435.5752529719,359195.6906786706,325833.619375,381179.630625,327168.84684126923,388847.35718618514,328311.17827820225,391239.4766864498,327169.1607220517,388847.0482374697
1,2024-04-15 08:00:00,2024-04-13 23:00:00,346350.56,347649.5422109561,350015.97,353065.27788953914,354767.44523983594,353065.27105402626,335499.6590700338,359799.42535187845,320422.26678125,379609.67071875,321818.20948401134,384312.34629506693,322880.4765574104,386654.4139222615,321818.52217802213,384312.0199300304
1,2024-04-15 09:00:00,2024-04-13 23:00:00,345866.2,352757.95344619727,349846.72,352205.0718407932,353864.6194747326,352205.06449593906,338482.4502338492,367033.45665854536,318268.3936875,381425.0438125,320421.47226000717,383988.6714215792,321277.44578068296,386451.79316878226,320421.6545113467,383988.4744805314
1,2024-04-15 10:00:00,2024-04-13 23:00:00,353653.08,366464.1595977629,356688.94,355509.928104513,356918.3027022259,355509.92469247925,350994.18419858377,381934.13499694207,321470.1228125,391907.7521875,325939.1868440057,385080.66936502024,326712.00513493456,387124.6002695173,325939.37246447476,385080.47692048375
1,2024-04-15 11:00:00,2024-04-13 23:00:00,373122.37,382677.0558828726,375290.9,361975.83506343066,362792.0372663921,361975.83403722884,365753.3822362794,399600.72952946584,336350.12262499996,414231.68987500004,336571.60890283814,387380.0612240232,337427.6860566789,388156.3884761053,336571.3855182538,387380.2825562039
