index,respondent,type,value,value-units,y
2019-01-06 13:00:00,US48,D,402419,megawatthours,402419.0
2019-01-06 14:00:00,US48,D,415763,megawatthours,415763.0
2019-01-06 15:00:00,US48,D,421512,megawatthours,421512.0
2019-01-06 16:00:00,US48,D,418456,megawatthours,418456.0
2019-01-06 17:00:00,US48,D,412357,megawatthours,412357.0
2019-01-06 18:00:00,US48,D,408369,megawatthours,408369.0
2019-01-06 19:00:00,US48,D,406019,megawatthours,406019.0
2019-01-06 20:00:00,US48,D,403674,megawatthours,403674.0
2019-01-06 21:00:00,US48,D,403641,megawatthours,403641.0
2019-01-06 22:00:00,US48,D,410580,megawatthours,410580.0
2019-01-06 23:00:00,US48,D,426496,megawatthours,426496.0
2019-01-07 00:00:00,US48,D,444153,megawatthours,444153.0
2019-01-07 01:00:00,US48,D,451257,megawatthours,451257.0
2019-01-07 02:00:00,US48,D,453160,megawatthours,453160.0
2019-01-07 03:00:00,US48,D,443236,megawatthours,443236.0
2019-01-07 04:00:00,US48,D,427413,megawatthours,427413.0
2019-01-07 05:00:00,US48,D,409341,megawatthours,409341.0
2019-01-07 06:00:00,US48,D,392717,megawatthours,392717.0
2019-01-07 07:00:00,US48,D,381342,megawatthours,381342.0
2019-01-07 08:00:00,US48,D,374210,megawatthours,374210.0
2019-01-07 09:00:00,US48,D,372156,megawatthours,372156.0
2019-01-07 10:00:00,US48,D,376313,megawatthours,376313.0
2019-01-07 11:00:00,US48,D,392679,megawatthours,392679.0
2019-01-07 12:00:00,US48,D,424856,megawatthours,424856.0
2019-01-07 13:00:00,US48,D,453277,megawatthours,453277.0
2019-01-07 14:00:00,US48,D,466512,megawatthours,466512.0
2019-01-07 15:00:00,US48,D,470267,megawatthours,470267.0
2019-01-07 16:00:00,US48,D,468894,megawatthours,468894.0
2019-01-07 17:00:00,US48,D,463619,megawatthours,463619.0
2019-01-07 18:00:00,US48,D,458281,megawatthours,458281.0
2019-01-07 19:00:00,US48,D,454305,megawatthours,454305.0
2019-01-07 20:00:00,US48,D,450703,megawatthours,450703.0
2019-01-07 21:00:00,US48,D,449496,megawatthours,449496.0
2019-01-07 22:00:00,US48,D,452296,megawatthours,452296.0
2019-01-07 23:00:00,US48,D,462791,megawatthours,462791.0
2019-01-08 00:00:00,US48,D,475073,megawatthours,475073.0
2019-01-08 01:00:00,US48,D,480610,megawatthours,480610.0
2019-01-08 02:00:00,US48,D,475709,megawatthours,475709.0
2019-01-08 03:00:00,US48,D,461074,megawatthours,461074.0
2019-01-08 04:00:00,US48,D,441064,megawatthours,441064.0
2019-01-08 05:00:00,US48,D,418465,megawatthours,418465.0
2019-01-08 06:00:00,US48,D,398031,megawatthours,398031.0
2019-01-08 07:00:00,US48,D,383067,megawatthours,383067.0
2019-01-08 08:00:00,US48,D,374306,megawatthours,374306.0
2019-01-08 09:00:00,US48,D,371629,megawatthours,371629.0
2019-01-08 10:00:00,US48,D,374028,megawatthours,374028.0
2019-01-08 11:00:00,US48,D,387010,megawatthours,387010.0
2019-01-08 12:00:00,US48,D,416147,megawatthours,416147.0
2019-01-08 13:00:00,US48,D,444867,megawatthours,444867.0
2019-01-08 14:00:00,US48,D,457499,megawatthours,457499.0
2019-01-08 15:00:00,US48,D,461001,megawatthours,461001.0
2019-01-08 16:00:00,US48,D,459141,megawatthours,459141.0
2019-01-08 17:00:00,US48,D,454640,megawatthours,454640.0
2019-01-08 18:00:00,US48,D,449440,megawatthours,449440.0
2019-01-08 19:00:00,US48,D,446713,megawatthours,446713.0
2019-01-08 20:00:00,US48,D,442833,megawatthours,442833.0
2019-01-08 21:00:00,US48,D,441197,megawatthours,441197.0
2019-01-08 22:00:00,US48,D,443851,megawatthours,443851.0
2019-01-08 23:00:00,US48,D,454551,megawatthours,454551.0
2019-01-09 00:00:00,US48,D,469731,megawatthours,469731.0
2019-01-09 01:00:00,US48,D,476342,megawatthours,476342.0
2019-01-09 02:00:00,US48,D,474727,megawatthours,474727.0
2019-01-09 03:00:00,US48,D,462230,megawatthours,462230.0
2019-01-09 04:00:00,US48,D,442863,megawatthours,442863.0
2019-01-09 05:00:00,US48,D,421843,megawatthours,421843.0
2019-01-09 06:00:00,US48,D,404619,megawatthours,404619.0
2019-01-09 07:00:00,US48,D,391800,megawatthours,391800.0
2019-01-09 08:00:00,US48,D,385134,megawatthours,385134.0
2019-01-09 09:00:00,US48,D,383692,megawatthours,383692.0
2019-01-09 10:00:00,US48,D,386528,megawatthours,386528.0
2019-01-09 11:00:00,US48,D,402462,megawatthours,402462.0
2019-01-09 12:00:00,US48,D,434469,megawatthours,434469.0
2019-01-09 13:00:00,US48,D,465731,megawatthours,465731.0
2019-01-09 14:00:00,US48,D,478194,megawatthours,478194.0
2019-01-09 15:00:00,US48,D,480287,megawatthours,480287.0
